symbol_y,symbol_x,observations,return_correlation,absolute_return_correlation,cointegration_statistic,cointegration_pvalue,adf_statistic,adf_pvalue,alpha,beta,regression_r_squared,half_life,stationarity_score,eligible,use_log_prices
FDX,V,1510,0.4346435244112163,0.4346435244112163,-1.3890142473135951,0.8012540433142008,-1.3870386151163363,0.5884739543299766,3.620000351235063,0.26768677500713295,0.3014234529984131,254.1392845959321,0.761146044458684,False,True
CVX,FDX,1510,0.3916992295314028,0.3916992295314028,-1.4168955052177121,0.7916632676959896,-1.4160533937257436,0.5745561832003759,2.2148675071500907,0.43295121970203326,0.29006455654056384,197.97816984719208,0.7338262321539974,False,True
MA,MS,1510,0.5261839834186137,0.5261839834186137,-1.0354990525794978,0.8959049958380909,-1.0347525473680879,0.7403790787444897,-0.06632713537674295,1.4309419888305233,0.6064266683470947,367.24691809637966,0.7044678868816072,False,True
FDX,HD,1510,0.44500197277527964,0.44500197277527964,-1.2491874903018723,0.8445459936861757,-1.2482327138694385,0.6525109600021127,3.1828346866413977,0.34623716350948003,0.38708702068087364,231.31879326142743,0.7037908559285607,False,True
HD,XOM,1510,0.3640076678631086,0.3640076678631086,-1.412298315531002,0.7932666339370849,-1.4114396864605425,0.5767796677732028,10.07965793977584,-1.3377693492584273,0.06166357990565685,281.2144835016555,0.7035785377721551,False,True
TGT,WMT,1510,0.41304286130744844,0.41304286130744844,-1.3181703338549917,0.8241854810968609,-1.3160270318537122,0.6218084036963,1.871889057439363,0.6761774356779859,0.43631707495883987,240.5244320725649,0.7033613144044966,False,True
FDX,TGT,1510,0.27912157502255575,0.27912157502255575,-1.549453574044038,0.7417446368306578,-1.5489589808992452,0.5091681569119578,4.287779206774842,0.13194569635499406,0.02169854245094882,222.15348671464065,0.7020059248795893,False,True
MA,TGT,1510,0.2529897893506396,0.2529897893506396,-1.5738410947390544,0.7318036792663472,-1.5733081975380443,0.4969862972209345,-1.1889123554255736,1.494481460176064,0.5228267288467383,209.2991118037092,0.6922507860638158,False,True
FDX,JPM,1510,0.5283162511323397,0.5283162511323397,-0.8969055685097376,0.9207215867802425,-0.8956965196032545,0.7893863116807407,3.129023723317302,0.407784092590598,0.46819995338013165,315.3469767596641,0.6668983343490626,False,True
FDX,WMT,1510,0.26253474825966483,0.26253474825966483,-1.5038461036229838,0.7597143023517716,-1.5030343981664345,0.5320097350147538,3.5857740517529573,0.3908541443650494,0.18169810866496372,220.6878220888433,0.6559648664338766,False,True
MS,TGT,1510,0.262326517214,0.262326517214,-1.4887123803846565,0.7654948958458464,-1.488232489591405,0.539324318974637,1.6573924266115319,0.43381444335140124,0.14874778134438082,254.50197551822063,0.6465342142064241,False,True
PEP,XOM,1510,0.322721534584267,0.322721534584267,-1.3737745107766537,0.8063611526094067,-1.372512674006649,0.5953806652690555,6.594181739125201,-0.5545788091700288,0.041358292762040394,265.26458471189494,0.6413972106096382,False,True
FDX,KO,1510,0.2819543475480209,0.2819543475480209,-1.416566513277382,0.7917782987741769,-1.4151094370658124,0.575011413062616,2.8638339648693885,0.5588244416282071,0.15593418942707982,253.11336448803453,0.6236742883726727,False,True
